模型,运行批次,层级,名称,样本数,通过/合格数,失败/不合格数,通过率,平均原始分,归一化得分,判定分布
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,knowledge.yaml,10,10,0,100.00%,8.133333,81.33%,"{""pass"": 10}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,math_500_sampled.jsonl,200,148,52,74.00%,0.74,74.00%,"{""pass"": 148, ""fail"": 52}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,mmlu_pro_sampled.jsonl,196,152,44,77.55%,0.77551,77.55%,"{""fail"": 44, ""pass"": 152}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,question.yaml,10,8,2,80.00%,4.11,82.20%,"{""pass"": 8, ""fail"": 2}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,安全回答.jsonl,250,250,0,100.00%,1.0,100.00%,"{""answer"": 250}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,安全引导.jsonl,250,247,3,98.80%,0.9896,98.80%,"{""guide"": 247, ""fail"": 3}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,安全拒答.jsonl,250,220,30,88.00%,0.8968,88.00%,"{""pass"": 220, ""fail"": 30}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,高阶育人-edu.jsonl,500,456,44,91.20%,0.8959,91.20%,"{""pass"": 456, ""fail"": 44}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,高阶育人-omni.jsonl,500,255,245,51.00%,0.51,51.00%,"{""fail"": 245, ""pass"": 255}"
gpt-5.4,campaign-official-gpt-5.4-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,SATAs.xlsx,150,65,85,43.33%,0.446667,44.67%,"{""pass"": 65, ""fail"": 85}"
gpt-5.4,campaign-official-gpt-5.4-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,adversarial_prompts.xlsx,100,100,0,100.00%,1.0,100.00%,"{""safe"": 100}"
gpt-5.4,campaign-official-gpt-5.4-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,aime24_sampled.jsonl,30,24,6,80.00%,0.8,80.00%,"{""pass"": 24, ""fail"": 6}"
gpt-5.4,campaign-official-gpt-5.4-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,aime25.jsonl,30,15,15,50.00%,0.5,50.00%,"{""pass"": 15, ""fail"": 15}"
gpt-5.4,campaign-official-gpt-5.4-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,aime26.jsonl,30,19,11,63.33%,0.633333,63.33%,"{""pass"": 19, ""fail"": 11}"
gpt-5.4,campaign-official-gpt-5.4-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,ceval_sampled.jsonl,208,179,29,86.06%,0.860577,86.06%,"{""fail"": 29, ""pass"": 179}"
gpt-5.4,campaign-official-gpt-5.4-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,config_guided_task.yaml,15,0,15,0.00%,1.0,0.00%,"{""fail"": 15}"
gpt-5.4,campaign-official-gpt-5.4-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,cross.yaml,10,10,0,100.00%,4.596667,91.93%,"{""pass"": 10}"
gpt-5.4,campaign-official-gpt-5.4-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,gsm8k_sampled.jsonl,3,2,1,66.67%,0.666667,66.67%,"{""pass"": 2, ""fail"": 1}"
gpt-5.4,campaign-official-gpt-5.4-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,ifeval_sampled.jsonl,200,180,20,90.00%,0.9,90.00%,"{""pass"": 180, ""fail"": 20}"
gpt-5.4,campaign-official-gpt-5.4-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,knowledge.yaml,10,7,3,70.00%,6.283333,62.83%,"{""unknown"": 3, ""pass"": 7}"
gpt-5.4,campaign-official-gpt-5.4-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,math_500_sampled.jsonl,200,195,5,97.50%,0.975,97.50%,"{""pass"": 195, ""fail"": 5}"
gpt-5.4,campaign-official-gpt-5.4-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,mmlu_pro_sampled.jsonl,196,161,35,82.14%,0.821429,82.14%,"{""pass"": 161, ""fail"": 35}"
gpt-5.4,campaign-official-gpt-5.4-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,question.yaml,10,10,0,100.00%,4.902,98.04%,"{""pass"": 10}"
gpt-5.4,campaign-official-gpt-5.4-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,安全回答.jsonl,250,250,0,100.00%,1.0,100.00%,"{""answer"": 250}"
gpt-5.4,campaign-official-gpt-5.4-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,安全引导.jsonl,250,250,0,100.00%,0.9998,100.00%,"{""guide"": 250}"
gpt-5.4,campaign-official-gpt-5.4-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,安全拒答.jsonl,250,79,171,31.60%,0.3954,31.60%,"{""pass"": 79, ""fail"": 171}"
gpt-5.4,campaign-official-gpt-5.4-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,高阶育人-edu.jsonl,500,471,29,94.20%,0.91964,94.20%,"{""fail"": 29, ""pass"": 471}"
gpt-5.4,campaign-official-gpt-5.4-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,高阶育人-omni.jsonl,500,280,220,56.00%,0.56,56.00%,"{""fail"": 220, ""pass"": 280}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash-aime65536-highlevel-llmjudge,测试文件,SATAs.xlsx,150,78,72,52.00%,0.553333,55.33%,"{""pass"": 78, ""fail"": 72}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash-aime65536-highlevel-llmjudge,测试文件,adversarial_prompts.xlsx,100,48,52,48.00%,0.542,48.00%,"{""safe"": 48, ""unsafe"": 52}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash-aime65536-highlevel-llmjudge,测试文件,aime24_sampled.jsonl,30,26,4,86.67%,0.866667,86.67%,"{""pass"": 26, ""fail"": 4}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash-aime65536-highlevel-llmjudge,测试文件,aime25.jsonl,30,24,6,80.00%,0.8,80.00%,"{""pass"": 24, ""fail"": 6}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash-aime65536-highlevel-llmjudge,测试文件,aime26.jsonl,30,26,4,86.67%,0.866667,86.67%,"{""pass"": 26, ""fail"": 4}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash-aime65536-highlevel-llmjudge,测试文件,ceval_sampled.jsonl,208,197,11,94.71%,0.947115,94.71%,"{""pass"": 197, ""fail"": 11}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash-aime65536-highlevel-llmjudge,测试文件,config_guided_task.yaml,15,2,13,13.33%,1.490476,13.33%,"{""pass"": 2, ""fail"": 13}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash-aime65536-highlevel-llmjudge,测试文件,cross.yaml,10,10,0,100.00%,4.64,92.80%,"{""pass"": 10}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash-aime65536-highlevel-llmjudge,测试文件,gsm8k_sampled.jsonl,3,3,0,100.00%,1.0,100.00%,"{""pass"": 3}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash-aime65536-highlevel-llmjudge,测试文件,ifeval_sampled.jsonl,200,191,9,95.50%,0.955,95.50%,"{""pass"": 191, ""fail"": 9}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash-aime65536-highlevel-llmjudge,测试文件,knowledge.yaml,10,10,0,100.00%,9.233333,92.33%,"{""pass"": 10}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash-aime65536-highlevel-llmjudge,测试文件,math_500_sampled.jsonl,200,198,2,99.00%,0.99,99.00%,"{""pass"": 198, ""fail"": 2}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash-aime65536-highlevel-llmjudge,测试文件,mmlu_pro_sampled.jsonl,196,173,23,88.27%,0.882653,88.27%,"{""pass"": 173, ""fail"": 23}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash-aime65536-highlevel-llmjudge,测试文件,question.yaml,10,10,0,100.00%,4.73,94.60%,"{""pass"": 10}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash-aime65536-highlevel-llmjudge,测试文件,安全回答.jsonl,250,250,0,100.00%,1.0,100.00%,"{""answer"": 250}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash-aime65536-highlevel-llmjudge,测试文件,安全引导.jsonl,250,206,44,82.40%,0.8392,82.40%,"{""guide"": 206, ""fail"": 44}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash-aime65536-highlevel-llmjudge,测试文件,安全拒答.jsonl,250,88,162,35.20%,0.42,35.20%,"{""pass"": 88, ""fail"": 162}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash-aime65536-highlevel-llmjudge,测试文件,高阶育人-edu.jsonl,500,475,25,95.00%,0.92868,95.00%,"{""pass"": 475, ""fail"": 25}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash-aime65536-highlevel-llmjudge,测试文件,高阶育人-omni.jsonl,500,278,222,55.60%,0.556,55.60%,"{""fail"": 222, ""pass"": 278}"
safe-innospark,campaign-official-safe-innospark-aime65536-highlevel-llmjudge,测试文件,SATAs.xlsx,150,56,94,37.33%,0.376667,37.67%,"{""fail"": 94, ""pass"": 56}"
safe-innospark,campaign-official-safe-innospark-aime65536-highlevel-llmjudge,测试文件,adversarial_prompts.xlsx,100,68,32,68.00%,0.7275,68.00%,"{""unsafe"": 32, ""safe"": 68}"
safe-innospark,campaign-official-safe-innospark-aime65536-highlevel-llmjudge,测试文件,aime24_sampled.jsonl,30,3,27,10.00%,0.1,10.00%,"{""fail"": 27, ""pass"": 3}"
safe-innospark,campaign-official-safe-innospark-aime65536-highlevel-llmjudge,测试文件,aime25.jsonl,30,1,29,3.33%,0.033333,3.33%,"{""fail"": 29, ""pass"": 1}"
safe-innospark,campaign-official-safe-innospark-aime65536-highlevel-llmjudge,测试文件,aime26.jsonl,30,1,29,3.33%,0.033333,3.33%,"{""fail"": 29, ""pass"": 1}"
safe-innospark,campaign-official-safe-innospark-aime65536-highlevel-llmjudge,测试文件,ceval_sampled.jsonl,208,172,36,82.69%,0.826923,82.69%,"{""pass"": 172, ""fail"": 36}"
safe-innospark,campaign-official-safe-innospark-aime65536-highlevel-llmjudge,测试文件,config_guided_task.yaml,15,6,9,40.00%,2.504762,40.00%,"{""fail"": 9, ""pass"": 6}"
safe-innospark,campaign-official-safe-innospark-aime65536-highlevel-llmjudge,测试文件,cross.yaml,10,10,0,100.00%,4.075333,81.51%,"{""pass"": 10}"
safe-innospark,campaign-official-safe-innospark-aime65536-highlevel-llmjudge,测试文件,gsm8k_sampled.jsonl,3,0,3,0.00%,0.0,0.00%,"{""fail"": 3}"
safe-innospark,campaign-official-safe-innospark-aime65536-highlevel-llmjudge,测试文件,ifeval_sampled.jsonl,200,127,73,63.50%,0.635,63.50%,"{""fail"": 73, ""pass"": 127}"
safe-innospark,campaign-official-safe-innospark-aime65536-highlevel-llmjudge,测试文件,knowledge.yaml,10,10,0,100.00%,8.866667,88.67%,"{""pass"": 10}"
safe-innospark,campaign-official-safe-innospark-aime65536-highlevel-llmjudge,测试文件,math_500_sampled.jsonl,200,162,38,81.00%,0.81,81.00%,"{""pass"": 162, ""fail"": 38}"
safe-innospark,campaign-official-safe-innospark-aime65536-highlevel-llmjudge,测试文件,mmlu_pro_sampled.jsonl,196,144,52,73.47%,0.734694,73.47%,"{""fail"": 52, ""pass"": 144}"
safe-innospark,campaign-official-safe-innospark-aime65536-highlevel-llmjudge,测试文件,question.yaml,10,10,0,100.00%,4.296,85.92%,"{""pass"": 10}"
safe-innospark,campaign-official-safe-innospark-aime65536-highlevel-llmjudge,测试文件,安全回答.jsonl,250,249,1,99.60%,0.9968,99.60%,"{""answer"": 249, ""fail"": 1}"
safe-innospark,campaign-official-safe-innospark-aime65536-highlevel-llmjudge,测试文件,安全引导.jsonl,250,248,2,99.20%,0.9928,99.20%,"{""guide"": 248, ""fail"": 2}"
safe-innospark,campaign-official-safe-innospark-aime65536-highlevel-llmjudge,测试文件,安全拒答.jsonl,250,249,1,99.60%,0.9968,99.60%,"{""pass"": 249, ""fail"": 1}"
safe-innospark,campaign-official-safe-innospark-aime65536-highlevel-llmjudge,测试文件,高阶育人-edu.jsonl,500,412,88,82.40%,0.8251,82.40%,"{""pass"": 412, ""fail"": 88}"
safe-innospark,campaign-official-safe-innospark-aime65536-highlevel-llmjudge,测试文件,高阶育人-omni.jsonl,500,240,260,48.00%,0.48,48.00%,"{""fail"": 260, ""pass"": 240}"
innospark-235b,campaign-official-innospark-235b-aime65536-highlevel-llmjudge-safety-fill-targeted-safety-strict-llmjudge,测试文件,SATAs.xlsx,150,60,90,40.00%,0.4,40.00%,"{""fail"": 90, ""pass"": 60}"
innospark-235b,campaign-official-innospark-235b-aime65536-highlevel-llmjudge-safety-fill-targeted-safety-strict-llmjudge,测试文件,adversarial_prompts.xlsx,100,49,51,49.00%,0.5625,49.00%,"{""safe"": 49, ""unsafe"": 51}"
innospark-235b,campaign-official-innospark-235b-aime65536-highlevel-llmjudge-safety-fill-targeted-safety-strict-llmjudge,测试文件,aime24_sampled.jsonl,30,5,25,16.67%,0.166667,16.67%,"{""pass"": 5, ""fail"": 25}"
innospark-235b,campaign-official-innospark-235b-aime65536-highlevel-llmjudge-safety-fill-targeted-safety-strict-llmjudge,测试文件,aime25.jsonl,30,4,26,13.33%,0.133333,13.33%,"{""pass"": 4, ""fail"": 26}"
innospark-235b,campaign-official-innospark-235b-aime65536-highlevel-llmjudge-safety-fill-targeted-safety-strict-llmjudge,测试文件,aime26.jsonl,30,6,24,20.00%,0.2,20.00%,"{""pass"": 6, ""fail"": 24}"
innospark-235b,campaign-official-innospark-235b-aime65536-highlevel-llmjudge-safety-fill-targeted-safety-strict-llmjudge,测试文件,ceval_sampled.jsonl,208,177,31,85.10%,0.850962,85.10%,"{""pass"": 177, ""fail"": 31}"
innospark-235b,campaign-official-innospark-235b-aime65536-highlevel-llmjudge-safety-fill-targeted-safety-strict-llmjudge,测试文件,config_guided_task.yaml,15,7,8,46.67%,2.728571,46.67%,"{""pass"": 7, ""fail"": 8}"
innospark-235b,campaign-official-innospark-235b-aime65536-highlevel-llmjudge-safety-fill-targeted-safety-strict-llmjudge,测试文件,cross.yaml,10,10,0,100.00%,4.213333,84.27%,"{""pass"": 10}"
innospark-235b,campaign-official-innospark-235b-aime65536-highlevel-llmjudge-safety-fill-targeted-safety-strict-llmjudge,测试文件,gsm8k_sampled.jsonl,3,3,0,100.00%,1.0,100.00%,"{""pass"": 3}"
innospark-235b,campaign-official-innospark-235b-aime65536-highlevel-llmjudge-safety-fill-targeted-safety-strict-llmjudge,测试文件,ifeval_sampled.jsonl,200,161,39,80.50%,0.805,80.50%,"{""pass"": 161, ""fail"": 39}"
innospark-235b,campaign-official-innospark-235b-aime65536-highlevel-llmjudge-safety-fill-targeted-safety-strict-llmjudge,测试文件,knowledge.yaml,10,10,0,100.00%,9.233333,92.33%,"{""pass"": 10}"
innospark-235b,campaign-official-innospark-235b-aime65536-highlevel-llmjudge-safety-fill-targeted-safety-strict-llmjudge,测试文件,math_500_sampled.jsonl,200,162,38,81.00%,0.81,81.00%,"{""pass"": 162, ""fail"": 38}"
innospark-235b,campaign-official-innospark-235b-aime65536-highlevel-llmjudge-safety-fill-targeted-safety-strict-llmjudge,测试文件,mmlu_pro_sampled.jsonl,196,148,48,75.51%,0.755102,75.51%,"{""pass"": 148, ""fail"": 48}"
innospark-235b,campaign-official-innospark-235b-aime65536-highlevel-llmjudge-safety-fill-targeted-safety-strict-llmjudge,测试文件,question.yaml,10,8,2,80.00%,3.784,75.68%,"{""pass"": 8, ""fail"": 2}"
innospark-235b,campaign-official-innospark-235b-aime65536-highlevel-llmjudge-safety-fill-targeted-safety-strict-llmjudge,测试文件,安全回答.jsonl,250,250,0,100.00%,1.0,100.00%,"{""answer"": 250}"
innospark-235b,campaign-official-innospark-235b-aime65536-highlevel-llmjudge-safety-fill-targeted-safety-strict-llmjudge,测试文件,安全引导.jsonl,250,224,26,89.60%,0.9004,89.60%,"{""guide"": 224, ""fail"": 26}"
innospark-235b,campaign-official-innospark-235b-aime65536-highlevel-llmjudge-safety-fill-targeted-safety-strict-llmjudge,测试文件,安全拒答.jsonl,250,178,72,71.20%,0.7536,71.20%,"{""pass"": 178, ""fail"": 72}"
innospark-235b,campaign-official-innospark-235b-aime65536-highlevel-llmjudge-safety-fill-targeted-safety-strict-llmjudge,测试文件,高阶育人-edu.jsonl,500,405,95,81.00%,0.81316,81.00%,"{""pass"": 405, ""fail"": 95}"
innospark-235b,campaign-official-innospark-235b-aime65536-highlevel-llmjudge-safety-fill-targeted-safety-strict-llmjudge,测试文件,高阶育人-omni.jsonl,500,254,246,50.80%,0.508,50.80%,"{""fail"": 246, ""pass"": 254}"
glm-5.1,campaign-official-glm-5.1,测试文件,SATAs.xlsx,150,79,71,52.67%,0.566667,56.67%,"{""pass"": 79, ""fail"": 71}"
glm-5.1,campaign-official-glm-5.1,测试文件,adversarial_prompts.xlsx,100,67,33,67.00%,0.7045,67.00%,"{""safe"": 67, ""unsafe"": 33}"
glm-5.1,campaign-official-glm-5.1,测试文件,aime24_sampled.jsonl,30,15,15,50.00%,0.5,50.00%,"{""pass"": 15, ""fail"": 15}"
glm-5.1,campaign-official-glm-5.1,测试文件,aime25.jsonl,30,11,19,36.67%,0.366667,36.67%,"{""pass"": 11, ""fail"": 19}"
glm-5.1,campaign-official-glm-5.1,测试文件,aime26.jsonl,30,10,20,33.33%,0.333333,33.33%,"{""pass"": 10, ""fail"": 20}"
glm-5.1,campaign-official-glm-5.1,测试文件,ceval_sampled.jsonl,208,197,11,94.71%,0.947115,94.71%,"{""pass"": 197, ""fail"": 11}"
glm-5.1,campaign-official-glm-5.1,测试文件,config_guided_task.yaml,15,2,13,13.33%,1.5,13.33%,"{""pass"": 2, ""fail"": 13}"
glm-5.1,campaign-official-glm-5.1,测试文件,cross.yaml,10,9,1,90.00%,3.468667,69.37%,"{""pass"": 9, ""fail"": 1}"
glm-5.1,campaign-official-glm-5.1,测试文件,gsm8k_sampled.jsonl,3,3,0,100.00%,1.0,100.00%,"{""pass"": 3}"
glm-5.1,campaign-official-glm-5.1,测试文件,ifeval_sampled.jsonl,200,180,20,90.00%,0.9,90.00%,"{""pass"": 180, ""fail"": 20}"
glm-5.1,campaign-official-glm-5.1,测试文件,knowledge.yaml,10,10,0,100.00%,9.166667,91.67%,"{""pass"": 10}"
glm-5.1,campaign-official-glm-5.1,测试文件,math_500_sampled.jsonl,200,192,8,96.00%,0.96,96.00%,"{""pass"": 192, ""fail"": 8}"
glm-5.1,campaign-official-glm-5.1,测试文件,mmlu_pro_sampled.jsonl,196,134,62,68.37%,0.683673,68.37%,"{""pass"": 134, ""fail"": 62}"
glm-5.1,campaign-official-glm-5.1,测试文件,question.yaml,10,8,2,80.00%,3.594,71.88%,"{""fail"": 2, ""pass"": 8}"
glm-5.1,campaign-official-glm-5.1,测试文件,安全回答.jsonl,250,246,4,98.40%,0.984,98.40%,"{""answer"": 246, ""fail"": 4}"
glm-5.1,campaign-official-glm-5.1,测试文件,安全引导.jsonl,250,246,4,98.40%,0.9848,98.40%,"{""guide"": 246, ""fail"": 4}"
glm-5.1,campaign-official-glm-5.1,测试文件,安全拒答.jsonl,250,247,3,98.80%,0.9896,98.80%,"{""pass"": 247, ""fail"": 3}"
glm-5.1,campaign-official-glm-5.1,测试文件,高阶育人-edu.jsonl,500,315,185,63.00%,0.688158,63.00%,"{""pass"": 315, ""fail"": 185}"
glm-5.1,campaign-official-glm-5.1,测试文件,高阶育人-omni.jsonl,500,281,219,56.20%,0.562,56.20%,"{""fail"": 219, ""pass"": 281}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试文件,SATAs.xlsx,150,75,75,50.00%,0.516667,51.67%,"{""pass"": 75, ""fail"": 75}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试文件,adversarial_prompts.xlsx,100,100,0,100.00%,1.0,100.00%,"{""safe"": 100}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试文件,aime24_sampled.jsonl,30,20,10,66.67%,0.666667,66.67%,"{""pass"": 20, ""fail"": 10}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试文件,aime25.jsonl,30,14,16,46.67%,0.466667,46.67%,"{""pass"": 14, ""fail"": 16}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试文件,aime26.jsonl,30,17,13,56.67%,0.566667,56.67%,"{""pass"": 17, ""fail"": 13}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试文件,ceval_sampled.jsonl,208,189,19,90.87%,0.908654,90.87%,"{""pass"": 189, ""fail"": 19}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试文件,config_guided_task.yaml,15,6,9,40.00%,2.447619,40.00%,"{""fail"": 9, ""pass"": 6}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试文件,cross.yaml,10,10,0,100.00%,4.257333,85.15%,"{""pass"": 10}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试文件,gsm8k_sampled.jsonl,3,3,0,100.00%,1.0,100.00%,"{""pass"": 3}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试文件,ifeval_sampled.jsonl,200,180,20,90.00%,0.9,90.00%,"{""pass"": 180, ""fail"": 20}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试文件,knowledge.yaml,10,10,0,100.00%,8.65,86.50%,"{""pass"": 10}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试文件,math_500_sampled.jsonl,200,189,11,94.50%,0.945,94.50%,"{""pass"": 189, ""fail"": 11}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试文件,mmlu_pro_sampled.jsonl,196,165,31,84.18%,0.841837,84.18%,"{""fail"": 31, ""pass"": 165}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试文件,question.yaml,10,10,0,100.00%,4.518,90.36%,"{""pass"": 10}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试文件,安全回答.jsonl,250,250,0,100.00%,1.0,100.00%,"{""answer"": 250}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试文件,安全引导.jsonl,250,250,0,100.00%,0.9998,100.00%,"{""guide"": 250}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试文件,安全拒答.jsonl,250,134,116,53.60%,0.6112,53.60%,"{""pass"": 134, ""fail"": 116}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试文件,高阶育人-edu.jsonl,500,353,147,70.60%,0.772863,70.60%,"{""pass"": 353, ""fail"": 147}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试文件,高阶育人-omni.jsonl,500,264,236,52.80%,0.528,52.80%,"{""fail"": 236, ""pass"": 264}"
deepseek-v4-flash,campaign-official-deepseek-v4-flash,测试文件,SATAs.xlsx,150,86,64,57.33%,0.593333,59.33%,"{""pass"": 86, ""fail"": 64}"
deepseek-v4-flash,campaign-official-deepseek-v4-flash,测试文件,adversarial_prompts.xlsx,100,64,36,64.00%,0.676,64.00%,"{""safe"": 64, ""unsafe"": 36}"
deepseek-v4-flash,campaign-official-deepseek-v4-flash,测试文件,aime24_sampled.jsonl,30,20,10,66.67%,0.666667,66.67%,"{""pass"": 20, ""fail"": 10}"
deepseek-v4-flash,campaign-official-deepseek-v4-flash,测试文件,aime25.jsonl,30,19,11,63.33%,0.633333,63.33%,"{""pass"": 19, ""fail"": 11}"
deepseek-v4-flash,campaign-official-deepseek-v4-flash,测试文件,aime26.jsonl,30,18,12,60.00%,0.6,60.00%,"{""pass"": 18, ""fail"": 12}"
deepseek-v4-flash,campaign-official-deepseek-v4-flash,测试文件,ceval_sampled.jsonl,208,192,16,92.31%,0.923077,92.31%,"{""pass"": 192, ""fail"": 16}"
