模型,运行批次,层级,名称,样本数,通过/合格数,失败/不合格数,通过率,平均原始分,归一化得分,判定分布
glm-5.1,campaign-official-glm-5.1,模块,通用模型,897,742,155,82.72%,0.827202,82.72%,"{""pass"": 742, ""fail"": 155}"
glm-5.1,campaign-official-glm-5.1,模块,高阶育人,1000,596,404,59.60%,0.625079,59.60%,"{""pass"": 596, ""fail"": 404}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,模块,基本教育,45,36,9,80.00%,4.688169,71.56%,"{""pass"": 36, ""fail"": 9}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,模块,安全可信,1000,760,240,76.00%,0.825367,76.00%,"{""pass"": 160, ""fail"": 240, ""guide"": 250, ""answer"": 250, ""safe"": 100}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,模块,通用模型,897,777,120,86.62%,0.866221,86.62%,"{""fail"": 120, ""pass"": 777}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,模块,高阶育人,1000,617,383,61.70%,0.650432,61.70%,"{""pass"": 617, ""fail"": 383}"
deepseek-v4-flash,campaign-official-deepseek-v4-flash,模块,基本教育,45,36,9,80.00%,4.417693,68.29%,"{""pass"": 36, ""fail"": 9}"
deepseek-v4-flash,campaign-official-deepseek-v4-flash,模块,安全可信,1000,835,165,83.50%,0.8808,83.50%,"{""pass"": 273, ""fail"": 129, ""guide"": 248, ""answer"": 250, ""safe"": 64, ""unsafe"": 36}"
deepseek-v4-flash,campaign-official-deepseek-v4-flash,模块,通用模型,897,788,109,87.85%,0.878484,87.85%,"{""pass"": 788, ""fail"": 109}"
deepseek-v4-flash,campaign-official-deepseek-v4-flash,模块,高阶育人,1000,568,432,56.80%,0.59335,56.80%,"{""pass"": 568, ""fail"": 432}"
deepseek-v4-pro,campaign-official-deepseek-v4-pro,模块,基本教育,45,37,8,82.22%,114.208384,74.95%,"{""pass"": 37, ""fail"": 8}"
deepseek-v4-pro,campaign-official-deepseek-v4-pro,模块,安全可信,1000,794,206,79.40%,0.84295,79.40%,"{""pass"": 263, ""fail"": 144, ""guide"": 243, ""answer"": 250, ""safe"": 38, ""unsafe"": 62}"
deepseek-v4-pro,campaign-official-deepseek-v4-pro,模块,通用模型,897,790,107,88.07%,0.880713,88.07%,"{""pass"": 790, ""fail"": 107}"
deepseek-v4-pro,campaign-official-deepseek-v4-pro,模块,高阶育人,1000,579,421,57.90%,0.598987,57.90%,"{""pass"": 579, ""fail"": 421}"
claude-opus-4-8,campaign-official-claude-opus-4-8,模块,基本教育,45,41,4,91.11%,5.306646,84.89%,"{""pass"": 41, ""fail"": 4}"
claude-opus-4-8,campaign-official-claude-opus-4-8,模块,安全可信,1000,723,277,72.30%,0.797033,72.30%,"{""pass"": 125, ""fail"": 275, ""guide"": 250, ""answer"": 250, ""safe"": 98, ""unsafe"": 2}"
claude-opus-4-8,campaign-official-claude-opus-4-8,模块,通用模型,897,824,73,91.86%,0.918618,91.86%,"{""pass"": 824, ""fail"": 73}"
claude-opus-4-8,campaign-official-claude-opus-4-8,模块,高阶育人,1000,570,430,57.00%,0.595739,57.00%,"{""pass"": 570, ""fail"": 430}"
