模型,运行批次,层级,名称,样本数,通过/合格数,失败/不合格数,通过率,平均原始分,归一化得分,判定分布
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1,测试,高阶育人-综合,500,255,245,51.00%,0.51,51.00%,"{""fail"": 245, ""pass"": 255}"
gpt-5.4,campaign-official-gpt-5.4,测试,AIME 2024,30,23,7,76.67%,0.766667,76.67%,"{""pass"": 23, ""fail"": 7}"
gpt-5.4,campaign-official-gpt-5.4,测试,AIME 2025,30,15,15,50.00%,0.5,50.00%,"{""pass"": 15, ""fail"": 15}"
gpt-5.4,campaign-official-gpt-5.4,测试,AIME 2026,30,19,11,63.33%,0.633333,63.33%,"{""pass"": 19, ""fail"": 11}"
gpt-5.4,campaign-official-gpt-5.4,测试,C-Eval,208,179,29,86.06%,0.860577,86.06%,"{""fail"": 29, ""pass"": 179}"
gpt-5.4,campaign-official-gpt-5.4,测试,GSM8K,3,2,1,66.67%,0.666667,66.67%,"{""pass"": 2, ""fail"": 1}"
gpt-5.4,campaign-official-gpt-5.4,测试,IFEval,200,180,20,90.00%,0.9,90.00%,"{""pass"": 180, ""fail"": 20}"
gpt-5.4,campaign-official-gpt-5.4,测试,MATH-500,200,195,5,97.50%,0.975,97.50%,"{""pass"": 195, ""fail"": 5}"
gpt-5.4,campaign-official-gpt-5.4,测试,MMLU-Pro,196,161,35,82.14%,0.821429,82.14%,"{""pass"": 161, ""fail"": 35}"
gpt-5.4,campaign-official-gpt-5.4,测试,基本教育-引导式解题教学,15,0,15,0.00%,1.0,0.00%,"{""fail"": 15}"
gpt-5.4,campaign-official-gpt-5.4,测试,基本教育-情境化出题,10,10,0,100.00%,4.902,98.04%,"{""pass"": 10}"
gpt-5.4,campaign-official-gpt-5.4,测试,基本教育-知识点讲解,10,7,3,70.00%,6.283333,62.83%,"{""unknown"": 3, ""pass"": 7}"
gpt-5.4,campaign-official-gpt-5.4,测试,基本教育-跨学科教案,10,10,0,100.00%,4.596667,91.93%,"{""pass"": 10}"
gpt-5.4,campaign-official-gpt-5.4,测试,安全可信-安全回答,250,0,250,0.00%,0.0,0.00%,"{""fail"": 250}"
gpt-5.4,campaign-official-gpt-5.4,测试,安全可信-安全引导,250,0,250,0.00%,0.0,0.00%,"{""fail"": 250}"
gpt-5.4,campaign-official-gpt-5.4,测试,安全可信-对抗安全,100,0,100,0.00%,0.0,0.00%,"{""fail"": 100}"
gpt-5.4,campaign-official-gpt-5.4,测试,安全可信-拒答,250,0,250,0.00%,0.0,0.00%,"{""fail"": 250}"
gpt-5.4,campaign-official-gpt-5.4,测试,安全可信-教学伤害,150,23,127,15.33%,0.485222,15.33%,"{""pass"": 23, ""fail"": 127}"
gpt-5.4,campaign-official-gpt-5.4,测试,高阶育人-教育,500,0,500,0.00%,0.0,0.00%,"{""fail"": 500}"
gpt-5.4,campaign-official-gpt-5.4,测试,高阶育人-综合,500,280,220,56.00%,0.56,56.00%,"{""fail"": 220, ""pass"": 280}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash,测试,AIME 2024,30,26,4,86.67%,0.866667,86.67%,"{""pass"": 26, ""fail"": 4}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash,测试,AIME 2025,30,24,6,80.00%,0.8,80.00%,"{""pass"": 24, ""fail"": 6}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash,测试,AIME 2026,30,26,4,86.67%,0.866667,86.67%,"{""pass"": 26, ""fail"": 4}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash,测试,C-Eval,208,197,11,94.71%,0.947115,94.71%,"{""pass"": 197, ""fail"": 11}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash,测试,GSM8K,3,3,0,100.00%,1.0,100.00%,"{""pass"": 3}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash,测试,IFEval,200,191,9,95.50%,0.955,95.50%,"{""pass"": 191, ""fail"": 9}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash,测试,MATH-500,200,198,2,99.00%,0.99,99.00%,"{""pass"": 198, ""fail"": 2}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash,测试,MMLU-Pro,196,173,23,88.27%,0.882653,88.27%,"{""pass"": 173, ""fail"": 23}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash,测试,基本教育-引导式解题教学,15,2,13,13.33%,1.490476,13.33%,"{""pass"": 2, ""fail"": 13}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash,测试,基本教育-情境化出题,10,10,0,100.00%,4.73,94.60%,"{""pass"": 10}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash,测试,基本教育-知识点讲解,10,10,0,100.00%,9.233333,92.33%,"{""pass"": 10}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash,测试,基本教育-跨学科教案,10,10,0,100.00%,4.64,92.80%,"{""pass"": 10}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash,测试,安全可信-安全回答,250,250,0,100.00%,1.0,100.00%,"{""answer"": 250}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash,测试,安全可信-安全引导,250,206,44,82.40%,0.8392,82.40%,"{""guide"": 206, ""fail"": 44}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash,测试,安全可信-对抗安全,100,48,52,48.00%,0.542,48.00%,"{""safe"": 48, ""unsafe"": 52}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash,测试,安全可信-拒答,250,88,162,35.20%,0.42,35.20%,"{""pass"": 88, ""fail"": 162}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash,测试,安全可信-教学伤害,150,28,122,18.67%,0.476444,18.67%,"{""fail"": 122, ""pass"": 28}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash,测试,高阶育人-教育,500,333,167,66.60%,0.71719,66.60%,"{""pass"": 333, ""fail"": 167}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash,测试,高阶育人-综合,500,278,222,55.60%,0.556,55.60%,"{""fail"": 222, ""pass"": 278}"
safe-innospark,campaign-official-safe-innospark,测试,AIME 2024,30,3,27,10.00%,0.1,10.00%,"{""fail"": 27, ""pass"": 3}"
safe-innospark,campaign-official-safe-innospark,测试,AIME 2025,30,1,29,3.33%,0.033333,3.33%,"{""fail"": 29, ""pass"": 1}"
safe-innospark,campaign-official-safe-innospark,测试,AIME 2026,30,1,29,3.33%,0.033333,3.33%,"{""fail"": 29, ""pass"": 1}"
safe-innospark,campaign-official-safe-innospark,测试,C-Eval,208,172,36,82.69%,0.826923,82.69%,"{""pass"": 172, ""fail"": 36}"
safe-innospark,campaign-official-safe-innospark,测试,GSM8K,3,0,3,0.00%,0.0,0.00%,"{""fail"": 3}"
safe-innospark,campaign-official-safe-innospark,测试,IFEval,200,127,73,63.50%,0.635,63.50%,"{""fail"": 73, ""pass"": 127}"
safe-innospark,campaign-official-safe-innospark,测试,MATH-500,200,162,38,81.00%,0.81,81.00%,"{""pass"": 162, ""fail"": 38}"
safe-innospark,campaign-official-safe-innospark,测试,MMLU-Pro,196,144,52,73.47%,0.734694,73.47%,"{""fail"": 52, ""pass"": 144}"
safe-innospark,campaign-official-safe-innospark,测试,基本教育-引导式解题教学,15,6,9,40.00%,2.504762,40.00%,"{""fail"": 9, ""pass"": 6}"
safe-innospark,campaign-official-safe-innospark,测试,基本教育-情境化出题,10,10,0,100.00%,4.296,85.92%,"{""pass"": 10}"
safe-innospark,campaign-official-safe-innospark,测试,基本教育-知识点讲解,10,10,0,100.00%,8.866667,88.67%,"{""pass"": 10}"
safe-innospark,campaign-official-safe-innospark,测试,基本教育-跨学科教案,10,10,0,100.00%,4.075333,81.51%,"{""pass"": 10}"
safe-innospark,campaign-official-safe-innospark,测试,安全可信-安全回答,250,249,1,99.60%,0.9968,99.60%,"{""answer"": 249, ""fail"": 1}"
safe-innospark,campaign-official-safe-innospark,测试,安全可信-安全引导,250,248,2,99.20%,0.9928,99.20%,"{""guide"": 248, ""fail"": 2}"
safe-innospark,campaign-official-safe-innospark,测试,安全可信-对抗安全,100,68,32,68.00%,0.7275,68.00%,"{""unsafe"": 32, ""safe"": 68}"
safe-innospark,campaign-official-safe-innospark,测试,安全可信-拒答,250,249,1,99.60%,0.9968,99.60%,"{""pass"": 249, ""fail"": 1}"
safe-innospark,campaign-official-safe-innospark,测试,安全可信-教学伤害,150,18,132,12.00%,0.306587,12.00%,"{""fail"": 132, ""pass"": 18}"
safe-innospark,campaign-official-safe-innospark,测试,高阶育人-教育,500,140,360,28.00%,0.33457,28.00%,"{""pass"": 140, ""fail"": 360}"
safe-innospark,campaign-official-safe-innospark,测试,高阶育人-综合,500,240,260,48.00%,0.48,48.00%,"{""fail"": 260, ""pass"": 240}"
innospark-235b,campaign-official-innospark-235b,测试,AIME 2024,30,2,28,6.67%,0.066667,6.67%,"{""fail"": 28, ""pass"": 2}"
innospark-235b,campaign-official-innospark-235b,测试,AIME 2025,30,0,30,0.00%,0.0,0.00%,"{""fail"": 30}"
innospark-235b,campaign-official-innospark-235b,测试,AIME 2026,30,0,30,0.00%,0.0,0.00%,"{""fail"": 30}"
innospark-235b,campaign-official-innospark-235b,测试,C-Eval,208,177,31,85.10%,0.850962,85.10%,"{""pass"": 177, ""fail"": 31}"
innospark-235b,campaign-official-innospark-235b,测试,GSM8K,3,3,0,100.00%,1.0,100.00%,"{""pass"": 3}"
innospark-235b,campaign-official-innospark-235b,测试,IFEval,200,161,39,80.50%,0.805,80.50%,"{""pass"": 161, ""fail"": 39}"
innospark-235b,campaign-official-innospark-235b,测试,MATH-500,200,162,38,81.00%,0.81,81.00%,"{""pass"": 162, ""fail"": 38}"
innospark-235b,campaign-official-innospark-235b,测试,MMLU-Pro,196,148,48,75.51%,0.755102,75.51%,"{""pass"": 148, ""fail"": 48}"
innospark-235b,campaign-official-innospark-235b,测试,基本教育-引导式解题教学,15,0,15,0.00%,1.0,0.00%,"{""fail"": 15}"
innospark-235b,campaign-official-innospark-235b,测试,基本教育-情境化出题,10,9,1,90.00%,4.688,93.76%,"{""pass"": 9, ""fail"": 1}"
innospark-235b,campaign-official-innospark-235b,测试,基本教育-知识点讲解,10,0,10,0.00%,1.0,10.00%,"{""fail"": 10}"
innospark-235b,campaign-official-innospark-235b,测试,基本教育-跨学科教案,10,9,1,90.00%,3.89,77.80%,"{""pass"": 9, ""fail"": 1}"
innospark-235b,campaign-official-innospark-235b,测试,安全可信-安全回答,250,250,0,100.00%,1.0,100.00%,"{""answer"": 250}"
innospark-235b,campaign-official-innospark-235b,测试,安全可信-安全引导,250,223,27,89.20%,0.8938,89.20%,"{""guide"": 223, ""fail"": 27}"
innospark-235b,campaign-official-innospark-235b,测试,安全可信-对抗安全,100,52,48,52.00%,0.572,52.00%,"{""safe"": 52, ""unsafe"": 48}"
innospark-235b,campaign-official-innospark-235b,测试,安全可信-拒答,250,162,88,64.80%,0.6854,64.80%,"{""pass"": 162, ""fail"": 88}"
innospark-235b,campaign-official-innospark-235b,测试,安全可信-教学伤害,150,22,128,14.67%,0.46073,14.67%,"{""fail"": 128, ""pass"": 22}"
innospark-235b,campaign-official-innospark-235b,测试,高阶育人-教育,500,0,500,0.00%,0.0,0.00%,"{""fail"": 500}"
innospark-235b,campaign-official-innospark-235b,测试,高阶育人-综合,500,254,246,50.80%,0.508,50.80%,"{""fail"": 246, ""pass"": 254}"
glm-5.1,campaign-official-glm-5.1,测试,AIME 2024,30,15,15,50.00%,0.5,50.00%,"{""pass"": 15, ""fail"": 15}"
glm-5.1,campaign-official-glm-5.1,测试,AIME 2025,30,11,19,36.67%,0.366667,36.67%,"{""pass"": 11, ""fail"": 19}"
glm-5.1,campaign-official-glm-5.1,测试,AIME 2026,30,10,20,33.33%,0.333333,33.33%,"{""pass"": 10, ""fail"": 20}"
glm-5.1,campaign-official-glm-5.1,测试,C-Eval,208,197,11,94.71%,0.947115,94.71%,"{""pass"": 197, ""fail"": 11}"
glm-5.1,campaign-official-glm-5.1,测试,GSM8K,3,3,0,100.00%,1.0,100.00%,"{""pass"": 3}"
glm-5.1,campaign-official-glm-5.1,测试,IFEval,200,180,20,90.00%,0.9,90.00%,"{""pass"": 180, ""fail"": 20}"
glm-5.1,campaign-official-glm-5.1,测试,MATH-500,200,192,8,96.00%,0.96,96.00%,"{""pass"": 192, ""fail"": 8}"
glm-5.1,campaign-official-glm-5.1,测试,MMLU-Pro,196,134,62,68.37%,0.683673,68.37%,"{""pass"": 134, ""fail"": 62}"
glm-5.1,campaign-official-glm-5.1,测试,基本教育-引导式解题教学,15,2,13,13.33%,1.5,13.33%,"{""pass"": 2, ""fail"": 13}"
glm-5.1,campaign-official-glm-5.1,测试,基本教育-情境化出题,10,8,2,80.00%,3.594,71.88%,"{""fail"": 2, ""pass"": 8}"
glm-5.1,campaign-official-glm-5.1,测试,基本教育-知识点讲解,10,10,0,100.00%,9.166667,91.67%,"{""pass"": 10}"
glm-5.1,campaign-official-glm-5.1,测试,基本教育-跨学科教案,10,9,1,90.00%,3.468667,69.37%,"{""pass"": 9, ""fail"": 1}"
glm-5.1,campaign-official-glm-5.1,测试,安全可信-安全回答,250,246,4,98.40%,0.984,98.40%,"{""answer"": 246, ""fail"": 4}"
glm-5.1,campaign-official-glm-5.1,测试,安全可信-安全引导,250,246,4,98.40%,0.9848,98.40%,"{""guide"": 246, ""fail"": 4}"
glm-5.1,campaign-official-glm-5.1,测试,安全可信-对抗安全,100,67,33,67.00%,0.7045,67.00%,"{""safe"": 67, ""unsafe"": 33}"
glm-5.1,campaign-official-glm-5.1,测试,安全可信-拒答,250,247,3,98.80%,0.9896,98.80%,"{""pass"": 247, ""fail"": 3}"
glm-5.1,campaign-official-glm-5.1,测试,安全可信-教学伤害,150,26,124,17.33%,0.466,17.33%,"{""fail"": 124, ""pass"": 26}"
glm-5.1,campaign-official-glm-5.1,测试,高阶育人-教育,500,315,185,63.00%,0.688158,63.00%,"{""pass"": 315, ""fail"": 185}"
glm-5.1,campaign-official-glm-5.1,测试,高阶育人-综合,500,281,219,56.20%,0.562,56.20%,"{""fail"": 219, ""pass"": 281}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试,AIME 2024,30,20,10,66.67%,0.666667,66.67%,"{""pass"": 20, ""fail"": 10}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试,AIME 2025,30,14,16,46.67%,0.466667,46.67%,"{""pass"": 14, ""fail"": 16}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试,AIME 2026,30,17,13,56.67%,0.566667,56.67%,"{""pass"": 17, ""fail"": 13}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试,C-Eval,208,189,19,90.87%,0.908654,90.87%,"{""pass"": 189, ""fail"": 19}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试,GSM8K,3,3,0,100.00%,1.0,100.00%,"{""pass"": 3}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试,IFEval,200,180,20,90.00%,0.9,90.00%,"{""pass"": 180, ""fail"": 20}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试,MATH-500,200,189,11,94.50%,0.945,94.50%,"{""pass"": 189, ""fail"": 11}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试,MMLU-Pro,196,165,31,84.18%,0.841837,84.18%,"{""fail"": 31, ""pass"": 165}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试,基本教育-引导式解题教学,15,6,9,40.00%,2.447619,40.00%,"{""fail"": 9, ""pass"": 6}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试,基本教育-情境化出题,10,10,0,100.00%,4.518,90.36%,"{""pass"": 10}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试,基本教育-知识点讲解,10,10,0,100.00%,8.65,86.50%,"{""pass"": 10}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试,基本教育-跨学科教案,10,10,0,100.00%,4.257333,85.15%,"{""pass"": 10}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试,安全可信-安全回答,250,250,0,100.00%,1.0,100.00%,"{""answer"": 250}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试,安全可信-安全引导,250,250,0,100.00%,0.9998,100.00%,"{""guide"": 250}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试,安全可信-对抗安全,100,100,0,100.00%,1.0,100.00%,"{""safe"": 100}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试,安全可信-拒答,250,134,116,53.60%,0.6112,53.60%,"{""pass"": 134, ""fail"": 116}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试,安全可信-教学伤害,150,26,124,17.33%,0.484111,17.33%,"{""pass"": 26, ""fail"": 124}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试,高阶育人-教育,500,353,147,70.60%,0.772863,70.60%,"{""pass"": 353, ""fail"": 147}"
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,测试,高阶育人-综合,500,264,236,52.80%,0.528,52.80%,"{""fail"": 236, ""pass"": 264}"
deepseek-v4-flash,campaign-official-deepseek-v4-flash,测试,AIME 2024,30,20,10,66.67%,0.666667,66.67%,"{""pass"": 20, ""fail"": 10}"
deepseek-v4-flash,campaign-official-deepseek-v4-flash,测试,AIME 2025,30,19,11,63.33%,0.633333,63.33%,"{""pass"": 19, ""fail"": 11}"
deepseek-v4-flash,campaign-official-deepseek-v4-flash,测试,AIME 2026,30,18,12,60.00%,0.6,60.00%,"{""pass"": 18, ""fail"": 12}"
deepseek-v4-flash,campaign-official-deepseek-v4-flash,测试,C-Eval,208,192,16,92.31%,0.923077,92.31%,"{""pass"": 192, ""fail"": 16}"
deepseek-v4-flash,campaign-official-deepseek-v4-flash,测试,GSM8K,3,3,0,100.00%,1.0,100.00%,"{""pass"": 3}"
deepseek-v4-flash,campaign-official-deepseek-v4-flash,测试,IFEval,200,179,21,89.50%,0.895,89.50%,"{""pass"": 179, ""fail"": 21}"
deepseek-v4-flash,campaign-official-deepseek-v4-flash,测试,MATH-500,200,195,5,97.50%,0.975,97.50%,"{""pass"": 195, ""fail"": 5}"
deepseek-v4-flash,campaign-official-deepseek-v4-flash,测试,MMLU-Pro,196,162,34,82.65%,0.826531,82.65%,"{""pass"": 162, ""fail"": 34}"
deepseek-v4-flash,campaign-official-deepseek-v4-flash,测试,基本教育-引导式解题教学,15,6,9,40.00%,2.47619,40.00%,"{""fail"": 9, ""pass"": 6}"
deepseek-v4-flash,campaign-official-deepseek-v4-flash,测试,基本教育-情境化出题,10,10,0,100.00%,4.386,87.72%,"{""pass"": 10}"
deepseek-v4-flash,campaign-official-deepseek-v4-flash,测试,基本教育-知识点讲解,10,10,0,100.00%,7.6,76.00%,"{""pass"": 10}"
deepseek-v4-flash,campaign-official-deepseek-v4-flash,测试,基本教育-跨学科教案,10,10,0,100.00%,4.179333,83.59%,"{""pass"": 10}"
deepseek-v4-flash,campaign-official-deepseek-v4-flash,测试,安全可信-安全回答,250,250,0,100.00%,1.0,100.00%,"{""answer"": 250}"
deepseek-v4-flash,campaign-official-deepseek-v4-flash,测试,安全可信-安全引导,250,248,2,99.20%,0.9932,99.20%,"{""guide"": 248, ""fail"": 2}"
deepseek-v4-flash,campaign-official-deepseek-v4-flash,测试,安全可信-对抗安全,100,64,36,64.00%,0.676,64.00%,"{""safe"": 64, ""unsafe"": 36}"
deepseek-v4-flash,campaign-official-deepseek-v4-flash,测试,安全可信-拒答,250,241,9,96.40%,0.9696,96.40%,"{""pass"": 241, ""fail"": 9}"
deepseek-v4-flash,campaign-official-deepseek-v4-flash,测试,安全可信-教学伤害,150,32,118,21.33%,0.483333,21.33%,"{""pass"": 32, ""fail"": 118}"
deepseek-v4-flash,campaign-official-deepseek-v4-flash,测试,高阶育人-教育,500,316,184,63.20%,0.6827,63.20%,"{""pass"": 316, ""fail"": 184}"
deepseek-v4-flash,campaign-official-deepseek-v4-flash,测试,高阶育人-综合,500,252,248,50.40%,0.504,50.40%,"{""fail"": 248, ""pass"": 252}"
deepseek-v4-pro,campaign-official-deepseek-v4-pro,测试,AIME 2024,30,24,6,80.00%,0.8,80.00%,"{""pass"": 24, ""fail"": 6}"
deepseek-v4-pro,campaign-official-deepseek-v4-pro,测试,AIME 2025,30,19,11,63.33%,0.633333,63.33%,"{""pass"": 19, ""fail"": 11}"
deepseek-v4-pro,campaign-official-deepseek-v4-pro,测试,AIME 2026,30,22,8,73.33%,0.733333,73.33%,"{""pass"": 22, ""fail"": 8}"
deepseek-v4-pro,campaign-official-deepseek-v4-pro,测试,C-Eval,208,191,17,91.83%,0.918269,91.83%,"{""pass"": 191, ""fail"": 17}"
deepseek-v4-pro,campaign-official-deepseek-v4-pro,测试,GSM8K,3,3,0,100.00%,1.0,100.00%,"{""pass"": 3}"
deepseek-v4-pro,campaign-official-deepseek-v4-pro,测试,IFEval,200,173,27,86.50%,0.865,86.50%,"{""pass"": 173, ""fail"": 27}"
deepseek-v4-pro,campaign-official-deepseek-v4-pro,测试,MATH-500,200,196,4,98.00%,0.98,98.00%,"{""pass"": 196, ""fail"": 4}"
deepseek-v4-pro,campaign-official-deepseek-v4-pro,测试,MMLU-Pro,196,162,34,82.65%,0.826531,82.65%,"{""pass"": 162, ""fail"": 34}"
deepseek-v4-pro,campaign-official-deepseek-v4-pro,测试,基本教育-引导式解题教学,15,7,8,46.67%,326.590476,46.67%,"{""fail"": 8, ""pass"": 7}"
deepseek-v4-pro,campaign-official-deepseek-v4-pro,测试,基本教育-情境化出题,10,10,0,100.00%,11.363346,100.00%,"{""pass"": 10}"
deepseek-v4-pro,campaign-official-deepseek-v4-pro,测试,基本教育-知识点讲解,10,10,0,100.00%,8.65,86.50%,"{""pass"": 10}"
deepseek-v4-pro,campaign-official-deepseek-v4-pro,测试,基本教育-跨学科教案,10,10,0,100.00%,4.038667,80.77%,"{""pass"": 10}"
deepseek-v4-pro,campaign-official-deepseek-v4-pro,测试,安全可信-安全回答,250,250,0,100.00%,1.0,100.00%,"{""answer"": 250}"
deepseek-v4-pro,campaign-official-deepseek-v4-pro,测试,安全可信-安全引导,250,243,7,97.20%,0.973,97.20%,"{""guide"": 243, ""fail"": 7}"
deepseek-v4-pro,campaign-official-deepseek-v4-pro,测试,安全可信-对抗安全,100,38,62,38.00%,0.4295,38.00%,"{""safe"": 38, ""unsafe"": 62}"
deepseek-v4-pro,campaign-official-deepseek-v4-pro,测试,安全可信-拒答,250,234,16,93.60%,0.9472,93.60%,"{""pass"": 234, ""fail"": 16}"
deepseek-v4-pro,campaign-official-deepseek-v4-pro,测试,安全可信-教学伤害,150,29,121,19.33%,0.466333,19.33%,"{""fail"": 121, ""pass"": 29}"
deepseek-v4-pro,campaign-official-deepseek-v4-pro,测试,高阶育人-教育,500,344,156,68.80%,0.727974,68.80%,"{""pass"": 344, ""fail"": 156}"
deepseek-v4-pro,campaign-official-deepseek-v4-pro,测试,高阶育人-综合,500,235,265,47.00%,0.47,47.00%,"{""pass"": 235, ""fail"": 265}"
claude-opus-4-8,campaign-official-claude-opus-4-8,测试,AIME 2024,30,29,1,96.67%,0.966667,96.67%,"{""pass"": 29, ""fail"": 1}"
claude-opus-4-8,campaign-official-claude-opus-4-8,测试,AIME 2025,30,30,0,100.00%,1.0,100.00%,"{""pass"": 30}"
claude-opus-4-8,campaign-official-claude-opus-4-8,测试,AIME 2026,30,29,1,96.67%,0.966667,96.67%,"{""pass"": 29, ""fail"": 1}"
claude-opus-4-8,campaign-official-claude-opus-4-8,测试,C-Eval,208,195,13,93.75%,0.9375,93.75%,"{""pass"": 195, ""fail"": 13}"
claude-opus-4-8,campaign-official-claude-opus-4-8,测试,GSM8K,3,3,0,100.00%,1.0,100.00%,"{""pass"": 3}"
claude-opus-4-8,campaign-official-claude-opus-4-8,测试,IFEval,200,176,24,88.00%,0.88,88.00%,"{""pass"": 176, ""fail"": 24}"
claude-opus-4-8,campaign-official-claude-opus-4-8,测试,MATH-500,200,190,10,95.00%,0.95,95.00%,"{""pass"": 190, ""fail"": 10}"
claude-opus-4-8,campaign-official-claude-opus-4-8,测试,MMLU-Pro,196,172,24,87.76%,0.877551,87.76%,"{""pass"": 172, ""fail"": 24}"
